Entrada;Resultado Prog. Dinâmica;Tempo Prog. Dinâmica;Resultado Prog. Guloso;Tempo Prog. Guloso;
2570;1090;0,097368;-566;0,000039;
2575;1169;0,101250;-595;0,000040;
2580;1119;0,102004;-693;0,000075;
2585;1117;0,106461;-665;0,000040;
2590;1088;0,116192;-658;0,000039;
2595;1134;0,098315;-699;0,000044;
2600;1111;0,099082;-584;0,000049;
2605;1160;0,099508;-709;0,000041;
2610;1092;0,099494;-621;0,000041;
2615;1117;0,098603;-590;0,000041;
2620;1154;0,103377;-667;0,000040;
2625;1161;0,099043;-666;0,000041;
2630;1111;0,099451;-614;0,000041;
2635;1178;0,099926;-535;0,000041;
2640;1170;0,101137;-750;0,000040;
2645;1162;0,100710;-677;0,000040;
2650;1160;0,100401;-634;0,000040;
2655;1155;0,099821;-717;0,000039;
2660;1099;0,101383;-677;0,000040;
2665;1178;0,100779;-514;0,000042;
2670;1125;0,100441;-591;0,000040;
2675;1138;0,102144;-668;0,000040;
2680;1160;0,102857;-538;0,000041;
2685;1158;0,102561;-678;0,000041;
2690;1138;0,103292;-875;0,000074;
2695;1148;0,102932;-643;0,000041;
2700;1185;0,102655;-741;0,000040;
2705;1141;0,103155;-557;0,000042;
2710;1187;0,104198;-691;0,000041;
2715;1158;0,103986;-693;0,000043;
2720;1159;0,106325;-692;0,000041;
2725;1148;0,104865;-631;0,000042;
2730;1200;0,107237;-654;0,000042;
2735;1192;0,106516;-791;0,000041;
2740;1178;0,106934;-706;0,000042;
2745;1203;0,107024;-621;0,000042;
2750;1168;0,106046;-626;0,000042;
2755;1190;0,107890;-589;0,000042;
2760;1194;0,107098;-849;0,000041;
2765;1186;0,108095;-752;0,000041;
2770;1199;0,108744;-739;0,000042;
2775;1164;0,108573;-708;0,000042;
2780;1171;0,110409;-641;0,000042;
2785;1187;0,108983;-598;0,000042;
2790;1209;0,111154;-609;0,000043;
2795;1210;0,108682;-743;0,000042;
2800;1238;0,110522;-781;0,000042;
2805;1182;0,110715;-672;0,000043;
2810;1198;0,114356;-800;0,000042;
2815;1229;0,114421;-742;0,000042;
2820;1254;0,112788;-798;0,000042;
2825;1228;0,113420;-632;0,000043;
2830;1250;0,113461;-694;0,000060;
2835;1293;0,112290;-711;0,000042;
2840;1189;0,114740;-635;0,000044;
2845;1232;0,113448;-712;0,000046;
2850;1299;0,115089;-705;0,000043;
2855;1198;0,113966;-695;0,000043;
2860;1271;0,115271;-700;0,000043;
2865;1248;0,115507;-624;0,000044;
2870;1252;0,116097;-731;0,000044;
2875;1280;0,118068;-712;0,000043;
2880;1245;0,117301;-540;0,000044;
2885;1282;0,116310;-767;0,000044;
2890;1271;0,116820;-736;0,000043;
2895;1287;0,119214;-675;0,000044;
2900;1222;0,118286;-734;0,000043;
2905;1259;0,118941;-751;0,000043;
2910;1263;0,119462;-816;0,000044;
2915;1279;0,120442;-749;0,000044;
2920;1271;0,119289;-736;0,000044;
2925;1284;0,120320;-714;0,000044;
2930;1294;0,119353;-839;0,000045;
2935;1280;0,120572;-715;0,000044;
2940;1224;0,120908;-696;0,000045;
2945;1312;0,121254;-614;0,000044;
2950;1247;0,121917;-805;0,000045;
2955;1239;0,125509;-735;0,000062;
2960;1354;0,153637;-779;0,000044;
2965;1292;0,124316;-799;0,000044;
2970;1251;0,124613;-645;0,000046;
2975;1264;0,125449;-791;0,000049;
2980;1355;0,126070;-679;0,000045;
2985;1257;0,146079;-756;0,000045;
2990;1243;0,124801;-722;0,000045;
2995;1304;0,127456;-826;0,000044;
3000;1281;0,127159;-804;0,000045;
3005;1267;0,128220;-788;0,000045;
3010;1337;0,127039;-700;0,000047;
3015;1314;0,127211;-720;0,000045;
3020;1318;0,128117;-653;0,000046;
3025;1343;0,129410;-679;0,000046;
3030;1314;0,128429;-780;0,000046;
3035;1345;0,130935;-701;0,000046;
3040;1355;0,129790;-712;0,000046;
3045;1314;0,130565;-849;0,000045;
3050;1309;0,129820;-752;0,000050;
3055;1301;0,132536;-673;0,000046;
3060;1326;0,131758;-867;0,000046;
3065;1366;0,132883;-635;0,000046;
3070;1307;0,131243;-694;0,000047;
3075;1371;0,134291;-672;0,000050;
3080;1408;0,133936;-809;0,000050;
3085;1352;0,133362;-850;0,000046;
3090;1320;0,133922;-654;0,000046;
3095;1345;0,134136;-857;0,000046;
3100;1292;0,133934;-685;0,000047;
3105;1404;0,134947;-768;0,000046;
3110;1303;0,136614;-677;0,000047;
3115;1421;0,135775;-802;0,000050;
3120;1365;0,137376;-900;0,000047;
3125;1393;0,137102;-677;0,000049;
3130;1376;0,139238;-778;0,000047;
3135;1389;0,137335;-819;0,000047;
3140;1384;0,138004;-782;0,000047;
3145;1349;0,140995;-937;0,000047;
3150;1362;0,139165;-831;0,000048;
3155;1321;0,138858;-794;0,000048;
3160;1373;0,139682;-895;0,000047;
3165;1332;0,140963;-807;0,000051;
3170;1372;0,139912;-803;0,000048;
3175;1391;0,140943;-769;0,000047;
3180;1413;0,141360;-780;0,000048;
3185;1339;0,144800;-812;0,000052;
3190;1385;0,141584;-844;0,000048;
3195;1452;0,142478;-711;0,000048;
3200;1387;0,144082;-767;0,000048;
3205;1409;0,146474;-793;0,000048;
3210;1371;0,143777;-729;0,000048;
3215;1378;0,145459;-773;0,000048;
3220;1403;0,144207;-850;0,000048;
3225;1416;0,145101;-828;0,000048;
3230;1420;0,145005;-953;0,000049;
3235;1397;0,145792;-781;0,000048;
3240;1419;0,147804;-825;0,000049;
3245;1402;0,149573;-884;0,000052;
3250;1457;0,149351;-730;0,000050;
3255;1449;0,150338;-879;0,000049;
3260;1465;0,147403;-836;0,000049;
3265;1460;0,148833;-877;0,000048;
3270;1434;0,153937;-810;0,000049;
3275;1417;0,149827;-950;0,000049;
3280;1430;0,150161;-805;0,000049;
3285;1407;0,153419;-840;0,000049;
3290;1456;0,150839;-761;0,000050;
3295;1451;0,151917;-802;0,000050;
3300;1461;0,152334;-858;0,000050;
3305;1414;0,152739;-758;0,000050;
3310;1424;0,153163;-904;0,000049;
3315;1431;0,155211;-891;0,000050;
3320;1483;0,156087;-899;0,000053;
3325;1454;0,152830;-886;0,000050;
3330;1437;0,156434;-846;0,000051;
3335;1441;0,155894;-746;0,000051;
3340;1466;0,154655;-955;0,000050;
3345;1464;0,155613;-918;0,000051;
3350;1489;0,157828;-914;0,000050;
3355;1487;0,156073;-865;0,000050;
3360;1455;0,156070;-777;0,000051;
3365;1483;0,157640;-755;0,000051;
3370;1532;0,159132;-871;0,000051;
3375;1512;0,158034;-870;0,000051;
3380;1489;0,157508;-863;0,000051;
3385;1517;0,159636;-904;0,000054;
3390;1434;0,160122;-951;0,000051;
3395;1498;0,160494;-938;0,000051;
3400;1490;0,164512;-823;0,000051;
3405;1455;0,160942;-858;0,000052;
3410;1468;0,161984;-905;0,000052;
3415;1493;0,162319;-817;0,000051;
3420;1563;0,160834;-864;0,000055;
3425;1507;0,163208;-842;0,000051;
3430;1484;0,164232;-991;0,000052;
3435;1464;0,164135;-810;0,000052;
3440;1564;0,164985;-869;0,000052;
3445;1487;0,166954;-883;0,000052;
3450;1473;0,165014;-831;0,000052;
3455;1507;0,165761;-893;0,000052;
3460;1535;0,168877;-961;0,000052;
3465;1533;0,168128;-987;0,000052;
3470;1480;0,170167;-758;0,000054;
3475;1520;0,167662;-922;0,000052;
3480;1533;0,167722;-951;0,000053;
3485;1570;0,169350;-917;0,000052;
3490;1568;0,169180;-871;0,000052;
3495;1527;0,169184;-987;0,000053;
3500;1516;0,171695;-851;0,000052;
3505;1604;0,170827;-811;0,000053;
3510;1524;0,170828;-714;0,000053;
3515;1546;0,171714;-920;0,000052;
3520;1475;0,174795;-967;0,000053;
3525;1554;0,173712;-909;0,000053;
3530;1516;0,175052;-932;0,000053;
3535;1625;0,175481;-805;0,000053;
3540;1563;0,174059;-900;0,000053;
3545;1543;0,174778;-860;0,000054;
3550;1553;0,175488;-916;0,000054;
3555;1617;0,175565;-837;0,000054;
3560;1585;0,175555;-893;0,000054;
3565;1580;0,176448;-1036;0,000053;
3570;1542;0,177037;-999;0,000054;
3575;1573;0,180861;-854;0,000055;
3580;1613;0,178535;-853;0,000054;
3585;1602;0,179331;-852;0,000054;
3590;1543;0,179376;-941;0,000054;
3595;1538;0,178850;-775;0,000054;
3600;1554;0,181511;-789;0,000056;
3605;1561;0,180684;-1049;0,000054;
3610;1580;0,182269;-949;0,000056;
3615;1548;0,179305;-951;0,000054;
3620;1576;0,182161;-842;0,000055;
3625;1622;0,181582;-1000;0,000055;
3630;1560;0,186779;-843;0,000055;
3635;1636;0,184084;-908;0,000068;
3640;1580;0,183617;-898;0,000055;
3645;1560;0,204921;-861;0,000055;
3650;1615;0,185235;-854;0,000055;
3655;1631;0,184973;-838;0,000055;
3660;1575;0,185602;-876;0,000055;
3665;1579;0,185953;-845;0,000055;
3670;1604;0,186969;-988;0,000055;
3675;1581;0,187580;-996;0,000058;
3680;1567;0,186464;-1052;0,000055;
3685;1628;0,190687;-850;0,000055;
3690;1617;0,190259;-1041;0,000055;
3695;1606;0,189154;-929;0,000056;
3700;1577;0,196100;-847;0,000056;
3705;1614;0,196658;-900;0,000056;
3710;1603;0,193567;-1064;0,000056;
3715;1583;0,191136;-928;0,000056;
3720;1584;0,191387;-891;0,000056;
3725;1642;0,199254;-842;0,000056;
3730;1673;0,202073;-829;0,000058;
3735;1635;0,209775;-852;0,000059;
3740;1672;0,203016;-968;0,000057;
3745;1601;0,203932;-1042;0,000057;
3750;1620;0,208890;-984;0,000058;
3755;1618;0,215226;-920;0,000057;
3760;1643;0,198951;-814;0,000059;
3765;1614;0,222311;-1002;0,000058;
3770;1687;0,201327;-881;0,000058;
3775;1694;0,201148;-1084;0,000058;
3780;1635;0,202191;-1011;0,000057;
3785;1609;0,206103;-953;0,000060;
3790;1613;0,200039;-898;0,000057;
3795;1671;0,198382;-852;0,000058;
3800;1636;0,199237;-806;0,000057;
3805;1634;0,206583;-985;0,000059;
3810;1653;0,201876;-915;0,000057;
3815;1735;0,213701;-842;0,000057;
3820;1748;0,207508;-913;0,000058;
3825;1620;0,208395;-954;0,000058;
3830;1735;0,203625;-836;0,000058;
3835;1664;0,207434;-958;0,000065;
3840;1674;0,205716;-786;0,000059;
3845;1678;0,208464;-1001;0,000060;
3850;1721;0,210549;-1024;0,000059;
3855;1746;0,208810;-1164;0,000059;
3860;1660;0,216672;-980;0,000059;
3865;1718;0,211675;-955;0,000060;
3870;1662;0,210693;-861;0,000058;
3875;1678;0,215880;-926;0,000060;
3880;1655;0,215423;-889;0,000060;
3885;1680;0,217607;-1077;0,000060;
3890;1765;0,221519;-986;0,000060;
3895;1754;0,210931;-1009;0,000059;
3900;1695;0,210061;-1062;0,000059;
3905;1726;0,211984;-1016;0,000059;
3910;1682;0,211069;-955;0,000059;
3915;1686;0,218049;-1128;0,000061;
3920;1747;0,215457;-920;0,000059;
3925;1658;0,215390;-910;0,000081;
3930;1758;0,224561;-960;0,000063;
3935;1729;0,221637;-749;0,000061;
3940;1724;0,215960;-1015;0,000062;
3945;1737;0,220650;-861;0,000059;
3950;1711;0,224924;-1052;0,000059;
3955;1703;0,223541;-1117;0,000061;
3960;1794;0,243314;-1002;0,000061;
3965;1717;0,220650;-1007;0,000060;
3970;1700;0,233763;-1123;0,000061;
3975;1755;0,241891;-885;0,000062;
3980;1735;0,225363;-1046;0,000060;
3985;1742;0,226518;-970;0,000060;
3990;1734;0,228869;-1140;0,000062;
3995;1747;0,234057;-1124;0,000060;
4000;1754;0,225756;-865;0,000060;
4005;1746;0,225943;-1056;0,000060;
4010;1756;0,225682;-797;0,000094;
4015;1733;0,231553;-991;0,000062;
4020;1824;0,225266;-831;0,000061;
4025;1783;0,223949;-905;0,000061;
4030;1802;0,227166;-970;0,000061;
4035;1764;0,230287;-903;0,000061;
4040;1753;0,228184;-974;0,000060;
4045;1766;0,226729;-967;0,000061;
4050;1824;0,226013;-1029;0,000089;
4055;1768;0,236791;-1022;0,000063;
4060;1748;0,246157;-997;0,000062;
4065;1737;0,235847;-1146;0,000062;
4070;1810;0,236092;-1019;0,000062;
4075;1784;0,235797;-931;0,000064;
4080;1845;0,243020;-1017;0,000062;
4085;1783;0,246469;-1130;0,000061;
4090;1829;0,240494;-967;0,000062;
4095;1776;0,239569;-843;0,000062;
4100;1792;0,233411;-974;0,000064;
4105;1829;0,235903;-1177;0,000062;
4110;1779;0,232248;-972;0,000062;
4115;1810;0,234739;-1001;0,000062;
4120;1778;0,234364;-1057;0,000062;
4125;1818;0,238632;-945;0,000063;
4130;1786;0,260831;-938;0,000065;
4135;1784;0,247561;-931;0,000063;
4140;1827;0,248371;-1110;0,000081;
4145;1831;0,254925;-1136;0,000064;
4150;1826;0,247229;-1051;0,000062;
4155;1827;0,255407;-999;0,000077;
4160;1810;0,284541;-1115;0,000062;
4165;1817;0,255957;-952;0,000065;
4170;1887;0,251707;-984;0,000064;
4175;1873;0,253303;-1091;0,000064;
4180;1868;0,252719;-1096;0,000073;
4185;1815;0,261591;-987;0,000064;
4190;1825;0,250636;-998;0,000065;
4195;1781;0,263891;-1057;0,000063;
4200;1827;0,267898;-1062;0,000065;
4205;1831;0,257095;-1013;0,000076;
4210;1865;0,255482;-1099;0,000063;
4215;1905;0,254263;-996;0,000063;
4220;1927;0,271596;-995;0,000065;
4225;1802;0,267975;-1027;0,000066;
4230;1857;0,260370;-999;0,000064;
4235;1834;0,259095;-1229;0,000064;
4240;1871;0,258375;-1042;0,000063;
4245;1833;0,267198;-1014;0,000066;
4250;1867;0,266664;-1031;0,000063;
4255;1937;0,266326;-1102;0,000064;
4260;1833;0,262961;-1050;0,000064;
4265;1834;0,252405;-950;0,000065;
4270;1874;0,253525;-901;0,000065;
4275;1893;0,252349;-957;0,000064;
4280;1897;0,260625;-1031;0,000066;
4285;1883;0,254223;-1066;0,000065;
4290;1830;0,254714;-744;0,000065;
4295;1897;0,254984;-1223;0,000068;
4300;1850;0,259886;-1000;0,000069;
4305;1890;0,253692;-1104;0,000064;
4310;1882;0,258008;-1154;0,000063;
4315;1934;0,256479;-1147;0,000064;
4320;1860;0,257786;-1044;0,000066;
4325;1927;0,256813;-1040;0,000066;
4330;1886;0,279248;-1105;0,000065;
4335;1845;0,259066;-1092;0,000065;
4340;1894;0,265399;-1238;0,000065;
4345;1937;0,261338;-1021;0,000065;
4350;1875;0,260677;-969;0,000066;
4355;1930;0,261834;-1016;0,000067;
4360;1946;0,261358;-976;0,000066;
4365;1917;0,262727;-993;0,000066;
4370;1867;0,262749;-1076;0,000066;
4375;1973;0,270611;-1072;0,000096;
4380;1959;0,264621;-1017;0,000066;
4385;1984;0,265910;-1094;0,000066;
4390;1907;0,265036;-1135;0,000069;
4395;1938;0,268898;-1089;0,000093;
4400;1924;0,267555;-1136;0,000070;
4405;1946;0,271862;-1204;0,000066;
4410;1902;0,270299;-1122;0,000066;
4415;1909;0,271811;-1187;0,000066;
4420;1979;0,269274;-1003;0,000067;
4425;1947;0,271595;-1089;0,000067;
4430;1978;0,271152;-1139;0,000067;
4435;1946;0,270710;-1099;0,000067;
4440;1908;0,273305;-1119;0,000066;
4445;1987;0,273458;-1061;0,000067;
4450;1964;0,274888;-1075;0,000067;
4455;1944;0,272272;-1080;0,000067;
4460;1945;0,275345;-995;0,000067;
4465;1964;0,274940;-1258;0,000068;
4470;1932;0,276073;-1125;0,000068;
4475;2011;0,273986;-1151;0,000067;
4480;1967;0,276270;-1024;0,000068;
4485;1977;0,282834;-1239;0,000082;
4490;1954;0,277386;-1070;0,000071;
4495;2024;0,283184;-1207;0,000067;
4500;1995;0,280091;-1200;0,000067;
4505;1930;0,282034;-1028;0,000068;
4510;2036;0,279834;-1066;0,000067;
4515;1998;0,281700;-1020;0,000068;
4520;2023;0,281503;-1166;0,000067;
4525;1985;0,287469;-1174;0,000068;
4530;2016;0,283934;-1233;0,000068;
4535;1966;0,284719;-1163;0,000069;
4540;1988;0,286133;-1213;0,000069;
4545;1977;0,284232;-1116;0,000080;
4550;2026;0,288115;-1196;0,000068;
4555;1994;0,288401;-1030;0,000069;
4560;2055;0,288152;-1062;0,000069;
4565;1951;0,296283;-1055;0,000069;
4570;2006;0,287253;-1171;0,000068;
4575;2013;0,289056;-1167;0,000082;
4580;2011;0,289193;-1226;0,000069;
4585;2000;0,293068;-1234;0,000068;
4590;2031;0,290857;-1167;0,000070;
4595;2023;0,290038;-1004;0,000070;
4600;1997;0,295698;-1075;0,000069;
4605;2016;0,290568;-1242;0,000072;
4610;2023;0,293124;-950;0,000070;
4615;2072;0,295834;-1186;0,000070;
4620;2001;0,294483;-1056;0,000070;
4625;2029;0,297120;-1166;0,000070;
4630;2042;0,295969;-1135;0,000070;
4635;2067;0,296057;-1098;0,000071;
4640;1984;0,301369;-1196;0,000071;
4645;1937;0,297090;-1213;0,000070;
4650;2091;0,298105;-1002;0,000082;
4655;2056;0,297252;-1205;0,000070;
4660;2015;0,303689;-1165;0,000070;
4665;1956;0,298978;-1065;0,000071;
4670;2026;0,300771;-1217;0,000071;
4675;2045;0,301491;-1195;0,000070;
4680;2013;0,302240;-1278;0,000070;
4685;2101;0,303065;-1124;0,000071;
4690;2057;0,299990;-1018;0,000071;
4695;2052;0,306239;-1179;0,000072;
4700;2041;0,304790;-1163;0,000071;
4705;2072;0,303141;-1093;0,000071;
4710;2043;0,304126;-1209;0,000101;
4715;2083;0,307870;-1103;0,000084;
4720;2033;0,305606;-1087;0,000072;
4725;2049;0,312613;-1308;0,000071;
4730;2062;0,305910;-1133;0,000072;
4735;2060;0,308618;-1228;0,000071;
4740;2085;0,309387;-1038;0,000072;
4745;2107;0,308613;-1235;0,000072;
4750;2051;0,323804;-1222;0,000071;
4755;2094;0,311474;-1386;0,000072;
4760;2173;0,317485;-1211;0,000072;
4765;2135;0,312073;-1186;0,000071;
4770;2121;0,310898;-1185;0,000072;
4775;2110;0,312149;-1142;0,000072;
4780;2087;0,332609;-1141;0,000072;
4785;2136;0,312830;-1254;0,000072;
4790;2077;0,315991;-1355;0,000072;
4795;2147;0,316953;-1177;0,000072;
4800;2046;0,321006;-1155;0,000075;
4805;2113;0,318846;-1196;0,000072;
4810;2114;0,320255;-1141;0,000072;
4815;2106;0,317642;-1134;0,000072;
4820;2146;0,323080;-1298;0,000074;
4825;2195;0,318239;-1261;0,000104;
4830;2079;0,318847;-1158;0,000103;
4835;2158;0,321013;-1289;0,000072;
4840;2180;0,319936;-1165;0,000073;
4845;2094;0,323046;-1245;0,000073;
4850;2110;0,322874;-1097;0,000073;
4855;2132;0,324948;-1156;0,000073;
4860;2097;0,323309;-1233;0,000073;
4865;2107;0,325781;-1172;0,000073;
4870;2093;0,325473;-1315;0,000073;
4875;2151;0,326131;-1215;0,000073;
4880;2149;0,332884;-1202;0,000074;
4885;2153;0,328963;-1171;0,000074;
4890;2154;0,328423;-1296;0,000074;
4895;2137;0,332588;-1349;0,000074;
4900;2141;0,329920;-1213;0,000074;
4905;2145;0,333941;-1302;0,000104;
4910;2164;0,332097;-1175;0,000074;
4915;2180;0,332960;-1210;0,000075;
4920;2172;0,339588;-1311;0,000076;
4925;2212;0,335242;-1244;0,000084;
4930;2177;0,331588;-1318;0,000086;
4935;2193;0,335324;-1038;0,000074;
4940;2191;0,335228;-1400;0,000076;
4945;2165;0,338736;-1300;0,000075;
4950;2229;0,337033;-1176;0,000074;
4955;2179;0,342068;-1190;0,000094;
4960;2162;0,336583;-1309;0,000075;
4965;2196;0,340055;-1317;0,000074;
4970;2185;0,342203;-1286;0,000075;
4975;2201;0,340535;-1333;0,000074;
4980;2196;0,353230;-1056;0,000075;
4985;2161;0,341093;-1121;0,000075;
4990;2177;0,343019;-1105;0,000075;
4995;2220;0,342593;-1293;0,000075;
5000;2254;0,343054;-1103;0,000075;
